name,actual,values,predicted
Voylla Silver Plated Alloy Necklace,jewellery,"[0.75, 0.25, 0.25, 0.0, 0.25, 0.25, 0.75, 0.5, 0.75, 0.75, 0.25, 0.0, 0.0, 0.5, 0.0, 0.75, 0.25, 1.0, 0.75, 0.25, 0.5, 0.0, 0.0, 0.5, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0]",jewellery
Oye Top Girl's  Combo,clothing,"[0.9487179487179487, 0.41025641025641024, 0.5641025641025641, 0.1794871794871795, 0.46153846153846156, 0.358974358974359, 0.46153846153846156, 0.5128205128205128, 0.5641025641025641, 0.38461538461538464, 0.358974358974359, 0.4358974358974359, 0.5641025641025641, 0.48717948717948717, 0.0, 0.4358974358974359, 0.41025641025641024, 0.5641025641025641, 0.4358974358974359, 0.2564102564102564, 0.41025641025641024, 0.1794871794871795, 0.15384615384615385, 0.1794871794871795, 0.3333333333333333, 0.02564102564102564, 0.20512820512820512, 0.1794871794871795, 0.02564102564102564, 0.10256410256410256, 0.15384615384615385, 0.10256410256410256]",clothing
Indiatrendzs Women's Gathered Dress,clothing,"[1.0, 0.3076923076923077, 0.5384615384615384, 0.3076923076923077, 0.38461538461538464, 0.3076923076923077, 0.6923076923076923, 0.6153846153846154, 0.6153846153846154, 0.3076923076923077, 0.5384615384615384, 0.46153846153846156, 0.9230769230769231, 0.46153846153846156, 0.0, 0.5384615384615384, 0.46153846153846156, 0.8461538461538461, 0.5384615384615384, 0.23076923076923078, 0.5384615384615384, 0.23076923076923078, 0.23076923076923078, 0.15384615384615385, 0.38461538461538464, 0.07692307692307693, 0.38461538461538464, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.0]",clothing
"Khoobee Silk Self Design, Embroidered Blouse Material",clothing,"[1.0, 0.5555555555555556, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.7777777777777778, 0.6666666666666666, 0.5555555555555556, 0.0, 0.4444444444444444, 0.5555555555555556, 0.7777777777777778, 0.4444444444444444, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.1111111111111111, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111]",clothing
Visaga Plastic Necklace,jewellery,"[1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0]",clothing
Aaishwarya Track to Vogue Alloy Necklace,jewellery,"[1.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.5, 0.25, 0.25, 0.5, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.5, 0.75, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]",clothing
HomeeHub Polyester Multicolor Self Design Eyelet Door Curtain,home furnishing,"[0.8571428571428571, 0.5714285714285714, 0.42857142857142855, 0.42857142857142855, 0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.5714285714285714, 1.0, 0.7142857142857143, 0.42857142857142855, 0.0, 0.2857142857142857, 0.5714285714285714, 0.42857142857142855, 0.8571428571428571, 0.42857142857142855, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.0, 0.2857142857142857, 0.14285714285714285, 0.0]",home furnishing
Luxemburg Bandaeu Women's Tube Bra,clothing,"[0.5454545454545454, 0.0, 0.18181818181818182, 0.0, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.0, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.0, 0.18181818181818182, 0.0, 0.09090909090909091, 0.0, 0.09090909090909091, 0.0, 0.09090909090909091, 0.09090909090909091, 0.0, 0.0]",clothing
"Shaun Solid Baby Boy's Grey, Dark Blue Track Pants",baby care,"[1.0, 0.5666666666666667, 0.9333333333333333, 0.5, 0.7, 0.8, 0.9, 0.8, 0.8, 0.8, 0.6, 0.8666666666666667, 1.0, 0.7333333333333333, 0.1, 0.6333333333333333, 0.6666666666666666, 0.8333333333333334, 0.7666666666666667, 0.4666666666666667, 0.6666666666666666, 0.23333333333333334, 0.5, 0.26666666666666666, 0.4666666666666667, 0.0, 0.36666666666666664, 0.3333333333333333, 0.16666666666666666, 0.3, 0.13333333333333333, 0.16666666666666666]",clothing
Akyra Women's Printed Casual Shirt,clothing,"[1.0, 0.3076923076923077, 0.6153846153846154, 0.23076923076923078, 0.38461538461538464, 0.3076923076923077, 0.6923076923076923, 0.6923076923076923, 0.5384615384615384, 0.23076923076923078, 0.5384615384615384, 0.46153846153846156, 0.9230769230769231, 0.5384615384615384, 0.0, 0.38461538461538464, 0.5384615384615384, 0.8461538461538461, 0.6153846153846154, 0.15384615384615385, 0.5384615384615384, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693, 0.38461538461538464, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.0]",clothing
"s2s Trimmer rechargeable hair remover 280r Shaver For Women, Men",health  personal care appliances,"[0.7, 0.55, 0.55, 0.475, 0.725, 0.55, 0.775, 0.6, 0.725, 0.775, 0.65, 0.575, 0.6, 0.8, 0.15, 0.575, 0.675, 0.675, 0.8, 0.6, 0.8, 0.5, 0.925, 0.55, 0.625, 0.0, 0.375, 0.6, 0.3, 0.425, 0.1, 0.225]",health  personal care appliances
Prithish Be Calm.Stay Chill. Good Vibes. Ceramic Mug,kitchen  dining,"[0.7258064516129032, 0.3709677419354839, 0.5967741935483871, 0.14516129032258066, 0.46774193548387094, 0.43548387096774194, 0.5, 0.43548387096774194, 0.7258064516129032, 0.46774193548387094, 0.4032258064516129, 0.5645161290322581, 0.5, 0.5645161290322581, 0.0, 0.3387096774193548, 0.5, 0.6935483870967742, 0.9516129032258065, 0.1774193548387097, 0.46774193548387094, 0.20967741935483872, 0.14516129032258066, 0.12903225806451613, 0.2903225806451613, 0.0, 0.11290322580645161, 0.08064516129032258, 0.0, 0.14516129032258066, 0.25806451612903225, 0.08064516129032258]",kitchen  dining
WallDesign Small Vinyl Sticker,baby care,"[0.8, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 1.0, 1.0, 0.6, 0.6, 1.0, 1.0, 0.0, 0.4, 1.0, 0.6, 1.0, 0.4, 0.8, 0.4, 0.2, 0.4, 0.6, 0.4, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",home decor  festive needs
Radiant Bay Deluxe Solitaire White Gold Diamond 18 K Ring,jewellery,"[0.6666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.0, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.0]",watches
Karatcraft Bibiana Gold Diamond 18 K Ring,jewellery,"[0.8, 0.2, 0.5333333333333333, 0.2, 0.5333333333333333, 0.6, 0.4666666666666667, 0.6, 0.8, 0.3333333333333333, 0.5333333333333333, 0.6, 0.5333333333333333, 0.6, 0.0, 0.4666666666666667, 0.4666666666666667, 0.7333333333333333, 0.6, 0.26666666666666666, 0.4666666666666667, 0.2, 0.13333333333333333, 0.2, 0.4666666666666667, 0.0, 0.13333333333333333, 0.3333333333333333, 0.0, 0.13333333333333333, 0.13333333333333333, 0.0]",clothing
"IndiWeaves Regular Fit Men's Linen Beige, Blue Trousers",clothing,"[1.0, 0.4725274725274725, 0.7142857142857143, 0.2967032967032967, 0.6263736263736264, 0.5714285714285714, 0.6153846153846154, 0.6593406593406593, 0.6813186813186813, 0.6593406593406593, 0.4725274725274725, 0.6373626373626373, 0.7802197802197802, 0.6043956043956044, 0.054945054945054944, 0.4945054945054945, 0.5714285714285714, 0.7032967032967034, 0.5494505494505495, 0.2967032967032967, 0.5054945054945055, 0.2087912087912088, 0.31868131868131866, 0.23076923076923078, 0.3516483516483517, 0.0, 0.3076923076923077, 0.21978021978021978, 0.0989010989010989, 0.2087912087912088, 0.14285714285714285, 0.12087912087912088]",clothing
"Layer'r Classic Wottagirl (Set Of 2)-Romance, Heaven Combo Set",beauty and personal care,"[0.7142857142857143, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.5714285714285714, 0.42857142857142855, 0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855, 0.0, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.0, 0.14285714285714285, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.0, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285]",clothing
Pavvoin Lingerie Set,clothing,"[1.0, 0.55, 0.75, 0.4, 0.65, 0.725, 0.7, 0.75, 0.625, 0.65, 0.525, 0.675, 0.825, 0.65, 0.125, 0.45, 0.55, 0.675, 0.675, 0.325, 0.6, 0.225, 0.3, 0.25, 0.425, 0.0, 0.275, 0.2, 0.15, 0.25, 0.075, 0.075]",clothing
Cation Casual 3/4 Sleeve Solid Women's Top,clothing,"[1.0, 0.35714285714285715, 0.5714285714285714, 0.2857142857142857, 0.42857142857142855, 0.35714285714285715, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.42857142857142855, 0.5, 0.5, 0.9285714285714286, 0.6428571428571429, 0.0, 0.5, 0.5714285714285714, 0.8571428571428571, 0.6428571428571429, 0.21428571428571427, 0.6428571428571429, 0.14285714285714285, 0.14285714285714285, 0.07142857142857142, 0.35714285714285715, 0.07142857142857142, 0.35714285714285715, 0.21428571428571427, 0.07142857142857142, 0.14285714285714285, 0.21428571428571427, 0.07142857142857142]",clothing
Casotec Plexible LED Light 275012 Led Light USB Led Light,computers,"[0.6666666666666666, 0.5, 0.5, 0.6666666666666666, 0.8333333333333334, 0.5, 0.6666666666666666, 0.5, 0.6666666666666666, 0.8333333333333334, 0.5, 0.5, 0.5, 0.8333333333333334, 0.0, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]",computers
Karatcraft Vertex Yellow Gold Diamond 18 K Ring,jewellery,"[0.8, 0.0, 0.6, 0.2, 0.6, 0.6, 0.8, 0.6, 0.8, 0.4, 0.8, 0.8, 0.6, 0.6, 0.0, 0.8, 0.6, 0.8, 0.6, 0.2, 0.4, 0.2, 0.0, 0.2, 0.4, 0.0, 0.4, 0.2, 0.0, 0.2, 0.0, 0.0]",clothing
Babeezworld Baby Boy's Romper,baby care,"[0.9375, 0.59375, 0.78125, 0.53125, 0.65625, 0.75, 0.78125, 0.71875, 0.78125, 0.75, 0.65625, 0.75, 0.96875, 0.71875, 0.125, 0.53125, 0.625, 0.84375, 0.78125, 0.4375, 0.6875, 0.40625, 0.5, 0.46875, 0.5, 0.0, 0.40625, 0.40625, 0.25, 0.3125, 0.15625, 0.25]",baby care
Shopatplaces Printed Women's Broomstick Skirt,clothing,"[1.0, 0.3076923076923077, 0.5384615384615384, 0.23076923076923078, 0.38461538461538464, 0.38461538461538464, 0.5384615384615384, 0.6153846153846154, 0.5384615384615384, 0.23076923076923078, 0.5384615384615384, 0.46153846153846156, 0.7692307692307693, 0.46153846153846156, 0.0, 0.3076923076923077, 0.46153846153846156, 0.6923076923076923, 0.5384615384615384, 0.15384615384615385, 0.5384615384615384, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.23076923076923078, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.0]",clothing
Variation White Heart Shape Designer Alloy Jewel Set,jewellery,"[0.8571428571428571, 0.7142857142857143, 0.8571428571428571, 0.2857142857142857, 0.7142857142857143, 0.5714285714285714, 0.8571428571428571, 0.5714285714285714, 0.8571428571428571, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.5714285714285714, 0.8571428571428571, 0.0, 0.8571428571428571, 0.8571428571428571, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.0, 0.2857142857142857, 0.2857142857142857, 0.0, 0.2857142857142857, 0.14285714285714285, 0.0]",jewellery
S4S Stylish Women's Push-up Bra,clothing,"[1.0, 0.6875, 0.875, 0.125, 0.5625, 0.375, 0.8125, 0.75, 0.8125, 0.6875, 0.5, 0.75, 0.75, 0.6875, 0.0, 0.75, 0.5, 0.875, 0.6875, 0.125, 0.625, 0.0625, 0.3125, 0.1875, 0.4375, 0.0, 0.5625, 0.3125, 0.0625, 0.1875, 0.1875, 0.0625]",clothing
Galz4ever Droop Leaf Designer Alloy Necklace,jewellery,"[0.8, 0.4, 0.2, 0.0, 0.4, 0.0, 0.8, 0.4, 0.6, 0.4, 0.2, 0.4, 0.4, 0.4, 0.0, 0.6, 0.6, 0.8, 0.6, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2]",clothing
Babeezworld Baby Boy's Romper,baby care,"[0.967741935483871, 0.5806451612903226, 0.7903225806451613, 0.3548387096774194, 0.6612903225806451, 0.6774193548387096, 0.7580645161290323, 0.7903225806451613, 0.7419354838709677, 0.7096774193548387, 0.5967741935483871, 0.7580645161290323, 1.0, 0.7096774193548387, 0.06451612903225806, 0.5161290322580645, 0.6935483870967742, 0.8225806451612904, 0.7258064516129032, 0.3387096774193548, 0.7419354838709677, 0.2903225806451613, 0.41935483870967744, 0.27419354838709675, 0.532258064516129, 0.0, 0.3064516129032258, 0.27419354838709675, 0.16129032258064516, 0.27419354838709675, 0.1935483870967742, 0.14516129032258066]",baby care
Nimbus Printed Men's Round Neck T-Shirt,clothing,"[1.0, 0.5, 0.7222222222222222, 0.19444444444444445, 0.4722222222222222, 0.5277777777777778, 0.6388888888888888, 0.6666666666666666, 0.6944444444444444, 0.5555555555555556, 0.4166666666666667, 0.4444444444444444, 0.8611111111111112, 0.6388888888888888, 0.05555555555555555, 0.5277777777777778, 0.4444444444444444, 0.8055555555555556, 0.6388888888888888, 0.1388888888888889, 0.5277777777777778, 0.1388888888888889, 0.19444444444444445, 0.25, 0.3055555555555556, 0.027777777777777776, 0.2222222222222222, 0.0, 0.05555555555555555, 0.19444444444444445, 0.1111111111111111, 0.08333333333333333]",clothing
"Envy 1000 Nitro,Force Combo Set",beauty and personal care,"[0.8, 0.4, 0.4, 0.2, 0.6, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 0.6, 0.4, 0.0, 0.6, 0.6, 0.8, 0.6, 0.4, 0.6, 0.6, 0.0, 0.2, 0.4, 0.2, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2]",clothing
Leatherworld Milaan Club Lace Up Shoes,footwear,"[0.6, 0.2, 0.8, 0.0, 0.0, 0.4, 0.4, 0.2, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.0, 0.2, 0.2, 0.4, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",footwear
Numero Uno Printed Men's Round Neck T-Shirt,clothing,"[1.0, 0.3492063492063492, 0.5396825396825397, 0.1746031746031746, 0.30158730158730157, 0.36507936507936506, 0.4603174603174603, 0.5079365079365079, 0.49206349206349204, 0.4444444444444444, 0.3492063492063492, 0.3492063492063492, 0.6349206349206349, 0.4603174603174603, 0.0, 0.42857142857142855, 0.31746031746031744, 0.6349206349206349, 0.42857142857142855, 0.15873015873015872, 0.36507936507936506, 0.09523809523809523, 0.15873015873015872, 0.15873015873015872, 0.1746031746031746, 0.0, 0.19047619047619047, 0.09523809523809523, 0.015873015873015872, 0.07936507936507936, 0.07936507936507936, 0.031746031746031744]",clothing
Sitaram Women's Top and Skirt Set,clothing,"[0.8727272727272727, 0.5636363636363636, 0.7272727272727273, 0.2545454545454545, 0.509090909090909, 0.4727272727272727, 0.6545454545454545, 0.6545454545454545, 0.6545454545454545, 0.6181818181818182, 0.45454545454545453, 0.6363636363636364, 0.7454545454545455, 0.5818181818181818, 0.07272727272727272, 0.5272727272727272, 0.45454545454545453, 0.6363636363636364, 0.5454545454545454, 0.38181818181818183, 0.5636363636363636, 0.2727272727272727, 0.34545454545454546, 0.2909090909090909, 0.38181818181818183, 0.0, 0.43636363636363634, 0.34545454545454546, 0.16363636363636364, 0.2727272727272727, 0.18181818181818182, 0.09090909090909091]",clothing
Vaishna Fashion Women's Full Coverage Bra,clothing,"[1.0, 0.35714285714285715, 0.5, 0.35714285714285715, 0.42857142857142855, 0.2857142857142857, 0.6428571428571429, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855, 0.5, 0.35714285714285715, 0.7857142857142857, 0.5714285714285714, 0.0, 0.35714285714285715, 0.5714285714285714, 0.7142857142857143, 0.5, 0.2857142857142857, 0.6428571428571429, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.21428571428571427, 0.07142857142857142, 0.42857142857142855, 0.21428571428571427, 0.07142857142857142, 0.21428571428571427, 0.14285714285714285, 0.0]",clothing
Itiha 3 inch White Rice Lights,home decor  festive needs,"[0.75, 0.4166666666666667, 0.5, 0.3333333333333333, 0.75, 0.4166666666666667, 0.6666666666666666, 0.6666666666666666, 1.0, 0.5, 0.5833333333333334, 0.5833333333333334, 0.6666666666666666, 0.5833333333333334, 0.0, 0.4166666666666667, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.4166666666666667, 0.5, 0.4166666666666667, 0.16666666666666666, 0.5, 0.0, 0.08333333333333333, 0.25, 0.0, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]",home decor  festive needs
Shilpi Casual Cape Sleeve Solid Women's Top,clothing,"[0.9333333333333333, 0.3333333333333333, 0.5333333333333333, 0.26666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5333333333333333, 0.4, 0.4666666666666667, 0.4666666666666667, 0.8666666666666667, 0.6, 0.0, 0.4666666666666667, 0.5333333333333333, 0.8, 0.6666666666666666, 0.2, 0.6, 0.13333333333333333, 0.13333333333333333, 0.06666666666666667, 0.3333333333333333, 0.06666666666666667, 0.26666666666666666, 0.2, 0.06666666666666667, 0.06666666666666667, 0.2, 0.06666666666666667]",clothing
Yardley Morning Dew and Secret Crush Combo Set,beauty and personal care,"[0.625, 0.25, 0.375, 0.125, 0.375, 0.375, 1.0, 0.375, 0.5, 0.375, 0.375, 0.625, 0.375, 0.375, 0.0, 0.375, 0.375, 0.625, 0.5, 0.25, 0.5, 0.375, 0.0, 0.125, 0.375, 0.125, 0.125, 0.25, 0.0, 0.0, 0.25, 0.125]",beauty and personal care
Small Toes Casuals,footwear,"[0.9761904761904762, 0.6666666666666666, 1.0, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143, 0.8095238095238095, 0.8333333333333334, 0.8571428571428571, 0.7380952380952381, 0.7142857142857143, 0.7619047619047619, 0.8095238095238095, 0.7857142857142857, 0.11904761904761904, 0.6190476190476191, 0.6428571428571429, 0.8809523809523809, 0.8333333333333334, 0.4523809523809524, 0.7380952380952381, 0.38095238095238093, 0.4523809523809524, 0.30952380952380953, 0.5, 0.0, 0.5, 0.40476190476190477, 0.19047619047619047, 0.40476190476190477, 0.16666666666666666, 0.16666666666666666]",footwear
Disney Planes Cartoon Art Metal Pencil Box,toys  school supplies,"[0.8571428571428571, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.8571428571428571, 0.42857142857142855, 0.7142857142857143, 0.42857142857142855, 0.7142857142857143, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855, 0.0, 0.5714285714285714, 1.0, 0.42857142857142855, 0.5714285714285714, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285]",toys  school supplies
Blue Button Safari Green Loafers,footwear,"[0.7777777777777778, 0.3888888888888889, 0.7777777777777778, 0.3055555555555556, 0.4722222222222222, 0.5277777777777778, 0.5833333333333334, 0.5833333333333334, 0.5277777777777778, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.6666666666666666, 0.5833333333333334, 0.027777777777777776, 0.4722222222222222, 0.5277777777777778, 0.6111111111111112, 0.6388888888888888, 0.2777777777777778, 0.4444444444444444, 0.2777777777777778, 0.2222222222222222, 0.2222222222222222, 0.19444444444444445, 0.0, 0.3333333333333333, 0.1388888888888889, 0.19444444444444445, 0.25, 0.1388888888888889, 0.08333333333333333]",clothing
DailyObjects Back Cover for Apple iPad 2/3/4,mobiles  accessories,"[0.7575757575757576, 0.30303030303030304, 0.5454545454545454, 0.24242424242424243, 0.48484848484848486, 0.3939393939393939, 0.6363636363636364, 0.45454545454545453, 0.696969696969697, 0.5151515151515151, 0.36363636363636365, 0.6060606060606061, 0.5151515151515151, 1.0, 0.06060606060606061, 0.5454545454545454, 0.45454545454545453, 0.5151515151515151, 0.6060606060606061, 0.18181818181818182, 0.5757575757575758, 0.18181818181818182, 0.21212121212121213, 0.21212121212121213, 0.3939393939393939, 0.0, 0.18181818181818182, 0.18181818181818182, 0.030303030303030304, 0.15151515151515152, 0.15151515151515152, 0.06060606060606061]",mobiles  accessories
Cloth Fusion Plain Single Blanket Camel,home furnishing,"[0.75, 0.25, 0.5, 0.25, 0.5, 0.5, 0.0, 0.5, 0.75, 0.5, 0.5, 0.75, 0.75, 0.25, 0.0, 0.25, 0.5, 0.5, 0.5, 0.25, 0.25, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0]",clothing
Decon Metal Mangalsutra,jewellery,"[0.9393939393939394, 0.5454545454545454, 0.5757575757575758, 0.5757575757575758, 0.7272727272727273, 0.6666666666666666, 0.7878787878787878, 0.7272727272727273, 0.8787878787878788, 0.7272727272727273, 0.6666666666666666, 0.6060606060606061, 0.6363636363636364, 0.7272727272727273, 0.18181818181818182, 0.696969696969697, 0.6666666666666666, 1.0, 0.6666666666666666, 0.6060606060606061, 0.7575757575757576, 0.42424242424242425, 0.5757575757575758, 0.5151515151515151, 0.5454545454545454, 0.0, 0.5454545454545454, 0.48484848484848486, 0.30303030303030304, 0.48484848484848486, 0.09090909090909091, 0.18181818181818182]",jewellery
TheLostPuppy Back Cover for Apple iPad Air 2,mobiles  accessories,"[0.7333333333333333, 0.5666666666666667, 0.5333333333333333, 0.26666666666666666, 0.5666666666666667, 0.5666666666666667, 0.6666666666666666, 0.5666666666666667, 0.8, 0.6666666666666666, 0.5666666666666667, 0.7, 0.5, 1.0, 0.03333333333333333, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6666666666666666, 0.2, 0.7, 0.3, 0.36666666666666664, 0.4, 0.4666666666666667, 0.0, 0.3, 0.3, 0.03333333333333333, 0.2, 0.2, 0.0]",mobiles  accessories
Prithish Virgo Ceramic Mug,kitchen  dining,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.5, 0.6666666666666666, 0.5, 0.8333333333333334, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666]",kitchen  dining
Bike World 3 Pipe Air Pressure for Etios Liva 110 dB Vehicle Horn,automotive,"[0.6206896551724138, 0.4827586206896552, 0.5172413793103449, 0.4827586206896552, 0.5862068965517241, 0.6551724137931034, 0.5517241379310345, 0.5517241379310345, 0.7241379310344828, 1.0, 0.6551724137931034, 0.5862068965517241, 0.5517241379310345, 0.6896551724137931, 0.1724137931034483, 0.4827586206896552, 0.6206896551724138, 0.6551724137931034, 0.6551724137931034, 0.4482758620689655, 0.6551724137931034, 0.4482758620689655, 0.5517241379310345, 0.5517241379310345, 0.5517241379310345, 0.0, 0.3793103448275862, 0.5517241379310345, 0.27586206896551724, 0.3793103448275862, 0.20689655172413793, 0.2413793103448276]",automotive
Leeway Women Wedges,footwear,"[0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]",clothing
Nimya Solid Men's Polo Neck T-Shirt,clothing,"[1.0, 0.3902439024390244, 0.6829268292682927, 0.21951219512195122, 0.4878048780487805, 0.5121951219512195, 0.6341463414634146, 0.6341463414634146, 0.5121951219512195, 0.5853658536585366, 0.4146341463414634, 0.4634146341463415, 0.7317073170731707, 0.5609756097560976, 0.0, 0.4634146341463415, 0.5121951219512195, 0.7073170731707317, 0.4878048780487805, 0.1951219512195122, 0.5121951219512195, 0.0975609756097561, 0.21951219512195122, 0.17073170731707318, 0.2926829268292683, 0.0, 0.1951219512195122, 0.1951219512195122, 0.04878048780487805, 0.14634146341463414, 0.1951219512195122, 0.07317073170731707]",clothing
Tiedribbons We Love Mom Tile Showpiece  -  28 cm,home decor  festive needs,"[0.75, 0.53125, 0.65625, 0.171875, 0.640625, 0.5, 0.671875, 0.578125, 1.0, 0.578125, 0.484375, 0.65625, 0.625, 0.5625, 0.03125, 0.46875, 0.5, 0.796875, 0.78125, 0.21875, 0.546875, 0.140625, 0.234375, 0.203125, 0.359375, 0.0, 0.25, 0.1875, 0.015625, 0.140625, 0.15625, 0.078125]",home decor  festive needs
Marcoland Casual Shoes,footwear,"[0.5, 0.25, 0.75, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",footwear
